KrakenDB,NCBI_Parent
1000001484,31711
1000001485,31711
1000001486,31658
1000001487,31658
1000001488,31713
1000001489,31713
1000001490,31713
1000001491,169691
1000001492,169691
1000001493,31721
1000001494,31721
1000001495,31721
1000001496,31721
1000001497,31721
1000001498,31721
1000001499,31732
1000001500,31732
1000001501,129726
1000001502,129726
1000001503,31722
1000001504,31722
1000001505,31741
1000001506,31741
1000001507,64285
1000001508,64285
1000001509,31742
1000001510,31742
1000001511,148363
1000001512,148363
1000001513,31743
1000001514,31743
1000001515,31749
1000001516,31749
1000001517,64283
1000001518,64283
1000001519,31744
1000001520,31744
1000001521,117198
1000001522,117198
1000001523,117198
1000001524,31750
1000001525,31750
1000001526,31750
1000001527,31754
1000001528,31754
1000001529,64284
1000001530,64284
1000001531,31754
1000001532,31754
1000001533,31770
1000001534,31770
1000001535,31757
1000001536,31757
1000001537,83871
1000001538,83871
1000001539,83871
1000001540,83871
1000001541,64286
1000001542,64286
1000001543,32612
1000001544,32612
1000001545,32603
1000001546,32603
1000001547,32620
1000001548,32620
1000001549,32615
1000001550,32615
1000001551,32604
1000001552,32604
1000001553,46771
1000001554,46771
1000001555,32625
1000001556,32625
1000001557,46076
1000001558,46076
1000001559,32629
1000001560,32629
1000001561,32629
1000001562,33708
1000001563,33708
1000001564,232380
1000001565,232380
1000001566,78540
1000001567,78540
1000001568,33726
1000001569,33726
1000001570,33726
1000001571,33745
1000001572,33745
1000001573,33746
1000001574,33746
1000001575,33748
1000001576,33748
1000001577,33756
1000001578,33756
1000001579,33760
1000001580,33760
1000001581,33760
1000001582,33760
1000001583,64290
1000001584,64290
1000001585,33763
1000001586,33763
1000001587,160844
1000001588,160844
1000001589,33757
1000001590,33757
1000001591,33765
1000001592,33765
1000001593,35241
1000001594,35241
1000001595,46473
1000001596,46473
1000001597,33771
1000001598,33771
1000001599,35243
1000001600,35243
1000001601,35313
1000001602,35313
1000001603,35313
1000001604,35313
1000001605,35312
1000001606,35312
1000001607,35312
1000001608,35312
1000001609,35314
1000001610,35314
1000001611,35314
1000001612,35314
1000001613,46242
1000001614,46242
1000001615,35316
1000001616,35316
1000001617,35316
1000001618,35316
1000001619,64288
1000001620,64288
1000001621,35318
1000001622,35318
1000001623,35318
1000001624,35318
1000001625,35343
1000001626,35343
1000001627,35319
1000001628,35319
1000001629,35319
1000001630,35319
1000001631,128941
1000001632,128941
1000001633,35344
1000001634,35344
1000001635,35341
1000001636,35341
1000001637,35341
1000001638,46253
1000001639,46253
1000001640,35345
1000001641,35345
1000001642,35511
1000001643,35511
1000001644,35511
1000001645,35511
1000001646,35350
1000001647,35350
1000001648,35514
1000001649,35514
1000001650,35514
1000001651,35514
1000001652,40666
1000001653,40666
1000001654,35515
1000001655,35515
1000001656,35515
1000001657,35515
1000001658,35516
1000001659,35516
1000001660,35516
1000001661,35516
1000001662,35593
1000001663,35593
1000001664,64292
1000001665,64292
1000001666,35612
1000001667,35612
1000001668,36339
1000001669,36339
1000001670,46839
1000001671,46839
1000001672,46839
1000001673,46839
1000001674,46839
1000001675,46839
1000001676,46839
1000001677,46839
1000001678,46839
1000001679,46839
1000001680,46839
1000001681,46839
1000001682,46839
1000001683,36355
1000001684,36355
1000001685,36362
1000001686,36362
1000001687,36363
1000001688,36363
1000001689,36370
1000001690,36370
1000001691,46917
1000001692,46917
1000001693,36403
1000001694,36403
1000001695,150284
1000001696,150284
1000001697,36427
1000001698,36427
1000001699,36427
1000001700,36427
1000001701,36427
1000001702,36427
1000001703,36427
1000001704,36427
1000001705,36427
1000001706,36427
1000001707,36427
1000001708,36427
1000001709,36453
1000001710,36453
1000001711,36772
1000001712,36772
1000001713,36772
1000001714,36772
1000001715,36772
1000001716,36772
1000001717,36772
1000001718,37124
1000001719,37124
1000001720,37105
1000001721,37105
1000001722,37108
1000001723,37108
1000001724,37126
1000001725,37126
1000001726,37126
1000001727,37126
1000001728,71186
1000001729,71186
1000001730,71186
1000001731,37131
1000001732,37131
1000001733,64293
1000001734,64293
1000001735,37138
1000001736,37138
1000001737,37127
